,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
242,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2192 sqft,"45,000"," Western Exotica Project , Kothaguda "
243,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1525 sqft,"23,000"," APGOs Coop HSG Society, Hafeezpet "
244,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1150 sqft,"14,000", Toli Chowki 
245,3 BHK Apartment,3,Semi-Furnished,Bachelors,1775 sqft,"23,000", Hyderaguda-Attapur 
246,3 BHK Apartment,2,Unfurnished,Bachelors,1490 sqft,"25,000"," Infocity Excellence and Elegance, Nallagandla, Serilingampally "
247,3 BHK Apartment,2,Semi-Furnished,Bachelors,1450 sqft,"25,000", Mehdipatnam 
248,3 BHK Apartment,2,Semi-Furnished,Bachelors,1200 sqft,"15,000"," Aparna Kanopy Tulip, Kompally "
249,3 BHK Apartment,North,Semi-Furnished,Bachelors/Family,1870 sqft,"35,000"," Sumukhi Orbit, Madhapur "
250,3 BHK Apartment,1,Semi-Furnished,Family,1756 sqft,"34,000"," Project Hill Ridge Springs, Gachibowli, Outer Ring Road "
251,3 BHK Apartment,1,Unfurnished,Bachelors,1500 sqft,"26,000"," Gayatri Hills, Jubilee Hills "
252,3 BHK Apartment,1,Furnished,Bachelors/Family,1360 sqft,"15,000"," Emerald Heights, Nizampet "
253,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1160 sqft,"16,000"," New Dilshukh Nagar, NH "
254,3 BHK Apartment,2,Unfurnished,Family,1450 sqft,"14,000", Maruthi Nagar 
255,2 BHK Apartment,1,Unfurnished,Bachelors,950 sqft,"10,000"," Hayathnagar, NH "
256,3 BHK Builder Floor,1,Semi-Furnished,Family,2200 sqft,"35,000", Kondapur 
257,2 BHK Apartment,1,Unfurnished,Bachelors/Family,670 sqft,"10,500"," Quthbullapur, NH "
258,4 BHK Apartment,1,Furnished,Family,3000 sqft,"36,000", Puppalaguda 
259,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"18,000", Puppalaguda 
260,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1933 sqft,"18,000"," Modi Splendour, Kukatpally, NH "
261,3 BHK Apartment,NaN,Bachelors/Family,3,2200 sqft,"26,000", Attapur 
262,3 BHK Apartment,1,Semi-Furnished,Family,1933 sqft,"18,000"," Modi Splendour, Kukatpally, NH "
263,2 BHK Builder Floor,1,Unfurnished,Family,900 sqft,"10,200"," Quthbullapur, NH "
264,2 BHK Apartment,1,Unfurnished,Bachelors/Family,900 sqft,"14,500", Borabanda 
265,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1650 sqft,"18,000"," Miyapur, NH "
266,3 BHK Apartment,2,Semi-Furnished,Family,1850 sqft,"23,000"," Manikonda, Outer Ring Road "
267,3 BHK Apartment,West,Semi-Furnished,Family,1650 sqft,"36,000"," Ashoka Liviano, Gachibowli, Outer Ring Road "
268,4 BHK Apartment,2,Unfurnished,Bachelors,2000 sqft,"25,000"," Al Hasnath Colony, Toli Chowki "
269,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,100 sqyrd,"9,000", Narapally 
270,3 BHK Apartment,2,Semi-Furnished,Family,1690 sqft,"45,000"," Gachibowli CUC, Outer Ring Road "
271,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1100 sqft,"13,000"," New Bowenpally, NH "
272,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1850 sqft,"30,000", Shaikpet 
273,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1925 sqft,"25,000"," Hafeezpet, NH "
274,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1600 sqft,"17,000", Uppal Metro 
275,3 BHK Builder Floor,North - East,Semi-Furnished,Bachelors/Family,1750 sqft,"17,000", Bowenpally 
276,3 BHK Apartment,2,Unfurnished,Bachelors,1700 sqft,"20,000", Nizampet 
277,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1782 sqft,"35,000"," IT Heights, Khaja Guda, Outer Ring Road "
278,3 BHK Apartment,2,Semi-Furnished,Family,1450 sqft,"15,000", Bowenpally 
279,2 BHK Apartment,1,Unfurnished,Bachelors,954 sqft,"10,000"," Modi Emerald Heights, Pocharam, NH "
280,3 BHK Apartment,2,Semi-Furnished,Family,1933 sqft,"16,000"," Modi Splendour, Gajularamaram "
281,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1700 sqft,"32,000"," Pranav Surya Planet, Kothaguda "
282,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1008 sqft,"14,000"," Miyapur, NH "
283,2 BHK Apartment,1,Unfurnished,Family,1100 sqft,"15,000"," Chandanagar, NH "
284,2 BHK Builder Floor,1,Unfurnished,Family,1140 sqft,"8,500"," Lalaguda, Secunderabad "
285,1 BHK Apartment,West,Semi-Furnished,Bachelors,read more,"8,000"," LB Nagar, NH "
286,3 BHK Apartment,1,Semi-Furnished,Bachelors,1350 sqft,"10,000"," Sri Sai Ram Residency, Beeramguda, Ramachandra Puram, NH "
287,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,900 sqft,"15,000", Gayathri Nagar 
288,3 BHK Apartment,1,Furnished,Family,1745 sqft,"29,000"," Concrete Palazzo, Nacharam "
289,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1180 sqft,"19,500"," Silver Nest Arcade, Narayanguda "
290,2 BHK Apartment,1,Semi-Furnished,Bachelors,1314 sqft,"35,000"," My Home Avatar, Narsingi, Outer Ring Road "
291,2 BHK Apartment,2,Furnished,Bachelors/Family,1280 sqft,"30,000", Narayanguda 
292,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1490 sqft,"30,000"," Aditya Imperial Heights, Hafeezpet, NH "
293,3 BHK Apartment,2,Unfurnished,Bachelors,1500 sqft,"18,000", New Nallakunta 
294,2 BHK Apartment,1,Unfurnished,Bachelors,1278 sqft,"33,000"," Lodha Meridian, Kukatpally Housing Board Colony, NH "
295,2 BHK Apartment,2,Semi-Furnished,Bachelors,1600 sqft,"35,000"," Banjara Hills, NH "
296,3 BHK Apartment,1,Semi-Furnished,Family,1545 sqft,"35,000"," Vajras Jasmine County, Gachibowli, Outer Ring Road "
297,3 BHK Apartment,1,Semi-Furnished,Bachelors,2430 sqft,"40,000"," SMR Vinay Iconia, Kondapur "
298,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1834 sqft,"40,400"," My Home Avatar, Narsingi, Outer Ring Road "
299,2 BHK Apartment,2,Unfurnished,Bachelors,1100 sqft,"17,000"," Krishna Giri Enclave, Secunderabad "
300,3 BHK Apartment,1,Semi-Furnished,Family,1738 sqft,"48,000"," Prestige Ivy League, Hitech City "
301,3 BHK Apartment,1,Unfurnished,Bachelors,2440 sqft,"48,000"," Jayabheri Orange County, Gachibowli, Outer Ring Road "
302,3 BHK Apartment,3,Semi-Furnished,Family,1490 sqft,"22,000"," Janapriya Utopia II, Upparpally, Hyderabad Expressway "
303,3 BHK Apartment,2,Semi-Furnished,Family,2690 sqft,"40,000"," SRI SAIRAM Towers, Hafeezpet, NH "
304,2 BHK Builder Floor,East,Unfurnished,Bachelors/Family,1000 sqft,"18,000", Shivam Rd 
305,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1000 sqft,"16,000"," Kukatpally Housing Board Colony, NH "
306,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1100 sqft,"20,000", Kondapur 
307,3 BHK Apartment,2,Furnished,Bachelors,NaN,"44,000", Hitech
308,1 BHK Builder Floor,East,Unfurnished,Bachelors/Family,East Facing Property,"6,500", Vidyanagar
309,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,"45,000"," Golf View, Gachibowli, Outer Ring Road "
310,3 BHK Apartment,3,Semi-Furnished,Family,2265 sqft,"40,000"," Rainbow Vistas Rock Gardens, Hitech City "
311,3 BHK Apartment,2,Unfurnished,Bachelors,read more,"30,000", Kondapur
312,2 BHK Builder Floor,1,Semi-Furnished,Family,1150 sqft,"17,000"," Gayatri Hills, Jubilee Hills "
313,3 BHK Apartment,2,Semi-Furnished,Bachelors,NaN,"25,000", West
314,2 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1260 sqft,"25,000"," Ayyappa Society, Madhapur "
315,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1558 sqft,"28,000"," Indu Fortune Fields apartments, Hitech City "
316,2 BHK Builder Floor,East,Semi-Furnished,Bachelors/Family,1345 sqft,"20,000", Kondapur 
317,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1380 sqft,"15,000", Dammaiguda 
318,2 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1100 sqft,"20,000"," Basheer Bagh, NH "
319,3 BHK Apartment,1,Semi-Furnished,Bachelors,2300 sqft,"45,000", Masjid Banda 
320,3 BHK Apartment,1,Semi-Furnished,Family,1650 sqft,"30,000"," Rethibowli, Mehdipatnam "
321,3 BHK Apartment,1,Semi-Furnished,Family,1545 sqft,"35,000"," Vajras Jasmine County, Financial District, Nanakram Guda "
322,1 BHK Apartment,1,Unfurnished,Bachelors,East Facing Property,"13,000", Kondapur
323,1 BHK Apartment,1,Unfurnished,Bachelors/Family,East Facing Property,"10,000", Kondapur
324,2 BHK Apartment,1,Unfurnished,Bachelors,NaN,"20,000"," Hemadurga Towers, Miyapur, NH "
325,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,NaN,"44,000", Rajapushpa Atria
326,2 BHK Apartment,2,Furnished,Bachelors/Family,read more,"31,000", Aparna Cyber Commune
327,2 BHK Apartment,2,Semi-Furnished,Family,1295 sqft,"30,000"," Aparna Serene Park, Masjid Banda "
328,2 BHK Apartment,1,Furnished,Bachelors/Family,1262 sqft,"41,000"," Ashvita, Hitech City "
329,3 BHK Apartment,3,Semi-Furnished,Family,1600 sqft,"31,000"," Aparna CyberZon, Nallagandla, Serilingampally "
330,3 BHK Apartment,2,Semi-Furnished,Bachelors,2345 sqft,"36,000"," ACE Atlantis, Khaja Guda, Outer Ring Road "
331,2 BHK Penthouse,4,Unfurnished,Bachelors,1100 sqft,"29,000", Jubilee Hills 
332,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1550 sqft,"23,000", Narayanguda 
333,1 BHK Apartment,1,Semi-Furnished,Bachelors,read more,"15,000", Kothaguda
334,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,NaN,"40,000", Aditya Empress Towers
335,3 BHK Apartment,3,Semi-Furnished,Bachelors,1800 sqft,"28,000"," Aditya Imperial Heights, Hafeezpet, NH "
336,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2500 sqft,"35,000", Hitech City 
337,3 BHK Apartment,2,Semi-Furnished,Family,1854 sqft,"45,000"," Lodha Meridian, Kukatpally, NH "
338,3 BHK Apartment,2,Furnished,Family,2350 sqft,"50,000"," Nagarjuna Residency, P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road "
339,3 BHK Apartment,3,Semi-Furnished,Family,2400 sqft,"45,000"," Apurupa Avenue, Kavuri Hills, Madhapur "
340,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1485 sqft,"23,000", Kondapur 
341,2 BHK Apartment,1,Unfurnished,Bachelors/Family,900 sqft,"16,000"," Banjara Hills, NH "
342,4 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2550 sqft,"38,000"," Ameerpet, NH "
343,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2160 sqft,"42,000"," My Home Vihanga, Gachibowli, Outer Ring Road "
344,3 BHK Apartment,East,Furnished,Family,1628 sqft,"26,000"," PBEL City, Appa junction "
345,3 BHK Apartment,3,Semi-Furnished,Bachelors,read more,"10,000", 
346,3 BHK Apartment,1,Unfurnished,Bachelors,2200 sqft,"50,000"," Aparna Aura, Jubilee Hills "
347,4 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2300 sqft,"50,000"," Jains Carlton Creek, Gachibowli, Outer Ring Road "
348,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2400 sqft,"48,000"," Ramky Towers Elite, Madhapur "
349,3 BHK Apartment,3,Semi-Furnished,Family,1600 sqft,"25,000"," Shanthi Nagar-Kukatpally, NH "
350,3 BHK Apartment,2,Semi-Furnished,Bachelors,1800 sqft,"22,000"," Sanjeeva Reddy Nagar, NH "
351,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1300 sqft,"25,000"," Surya Nagar, Toli Chowki "
352,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1834 sqft,"40,000"," Gachibowli, Outer Ring Road "
353,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1250 sqft,"18,000", West Marredpally 
354,2 BHK Apartment,1,Semi-Furnished,Bachelors,1200 sqft,"17,000"," Samata Colony, Toli Chowki "
355,3 BHK Apartment,2,Unfurnished,Bachelors,2200 sqft,"50,000"," Banjara Hills, NH "
356,3 BHK Apartment,From Nov '19,Semi-Furnished,Bachelors/Family,1504 sqft,"18,000"," Manikonda, Outer Ring Road "
357,3 BHK Apartment,East,Furnished,Bachelors/Family,1900 sqft,"45,000", Kondapur 
358,3 BHK Apartment,1,Semi-Furnished,Family,1615 sqft,"45,000"," Aparna Serene Park, Kondapur "
359,2 BHK Apartment,3,Semi-Furnished,Bachelors/Family,907 sqft,"18,000"," Solanki Gulmohar, Brahman Wadi, Begumpet "
360,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1233 sqft,"17,500", Attapur 
361,3 BHK Apartment,North,Semi-Furnished,Family,2000 sqft,"14,000"," Saroornagar, NH "
362,2 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1800 sqft,"15,000", Fort View Colony 
363,3 BHK Apartment,1,Semi-Furnished,Bachelors,2092 sqft,"35,000"," Morning Raga, Alkapur Township, Manikonda, Outer Ring Road "
364,1 BHK Penthouse,1,Unfurnished,Bachelors/Family,read more,"7,500"," Uppal, NH "
365,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1210 sqft,"13,000", Nagaram 
366,2 BHK Apartment,1,Unfurnished,Bachelors/Family,6000 sqft,"17,000"," Chandanagar, NH "
367,3 BHK Apartment,3,Furnished,Family,1650 sqft,"25,000"," Surya Sravanthi Apartment, Kothaguda "
368,2 BHK Apartment,2,Furnished,Bachelors/Family,1140 sqft,"15,000"," Lotus Avenues, Miyapur, NH "
369,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1650 sqft,"12,000"," Saroornagar, NH "
370,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1217 sqft,"30,000"," Kokapet, Outer Ring Road "
371,2 BHK Apartment,1,Furnished,Bachelors/Family,1350 sqft,"39,000"," Kokapet, Outer Ring Road "
372,2 BHK Apartment,East,Furnished,Family,1230 sqft,"26,000", Police Colony-Kondapur 
373,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1685 sqft,"30,000"," Rajapushpa Atria, Kokapet, Outer Ring Road "
374,3 BHK Apartment,2,Semi-Furnished,Bachelors,1800 sqft,"18,000", Bandlaguda Jagir 
375,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1514 sqft,"20,000"," Jeedimetla, NH "
376,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1450 sqft,"15,000"," Bachupally, Outer Ring Road "
377,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,"20,000"," Durgabai Deshmukh Colony, Amberpet "
378,3 BHK Apartment,2,Semi-Furnished,Family,1655 sqft,"30,000"," Nallagandla, Serilingampally "
379,2 BHK Apartment,1,Unfurnished,Bachelors,1413 sqft,"13,000"," Malakpet, NH "
380,2 BHK Apartment,2,Furnished,Bachelors,1010 sqft,"28,500"," Malaysian Township, Kukatpally, NH "
381,2 BHK Apartment,2,Unfurnished,Bachelors/Family,read more,"14,500", IDPL Colony
382,3 BHK Apartment,2,Semi-Furnished,Family,1500 sqft,"28,000"," Hafeezpet, NH "
383,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1685 sqft,"27,000"," Accurate Wind Chimes, Narsinghi "
384,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,read more,"8,500"," Beeramguda, Ramachandra Puram, NH "
385,3 BHK Apartment,3,Semi-Furnished,Bachelors,1024 sqft,"30,000"," Aditya Imperial Heights, Hafeezpet, NH "
386,3 BHK Apartment,East,Furnished,Family,1685 sqft,"45,000"," Gachibowli, Outer Ring Road "
387,3 BHK Apartment,NaN,Bachelors/Family,3,1600 sqft,"30,000"," Manikonda, Outer Ring Road "
388,3 BHK Apartment,1,Unfurnished,Bachelors/Family,2050 sqft,"36,000"," Aditya Gardenia, Banjara Hills, NH "
389,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1314 sqft,"30,000"," My Home Avatar, Narsingi, Outer Ring Road "
390,1 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,read more,"8,000", Charminar
391,3 BHK Apartment,2,Semi-Furnished,Family,1410 sqft,"20,000"," SMR Vinay Harmony County, Appa junction "
392,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1850 sqft,"36,000"," Aditya Gardenia, Banjara Hills, NH "
393,3 BHK Apartment,1,Furnished,Bachelors/Family,read more,"30,000"," Aditya Imperial Heights, Hafeezpet, NH "
394,1 BHK Apartment,1,Semi-Furnished,Bachelors,East Facing Property,"15,000", Kondapur
395,2 BHK Apartment,East,Unfurnished,Bachelors,1200 sqft,"14,000", Musheerabad 
396,3 BHK Apartment,1,Semi-Furnished,Bachelors,1525 sqft,"25,000", Friends Colony 
397,2 BHK Apartment,3,Semi-Furnished,Family,1150 sqft,"18,000", khairtabad 
398,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1650 sqft,"15,000"," Golden Heights Colony, Janachaitanya colony, Hyderabad Expressway "
399,2 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1200 sqft,"13,000", Chilakalguda 
400,3 BHK Apartment,2,Furnished,Bachelors/Family,1580 sqft,"50,000"," Habsiguda, NH "
401,2 BHK Apartment,1,Unfurnished,Bachelors/Family,950 sqft,"8,500"," B N Reddy Nagar, Nagarjuna Sagar Road "
402,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1678 sqft,"16,000"," Upparpally, Hyderabad Expressway "
403,2 BHK Apartment,2,Unfurnished,Bachelors,1175 sqft,"12,000"," Anandbagh, Secunderabad, Moula Ali Road "
404,1 BHK Penthouse,1,Unfurnished,Bachelors/Family,read more,"7,000", Langar
405,3 BHK Apartment,2,Semi-Furnished,Bachelors,1632 sqft,"25,000"," LB Nagar, NH "
406,2 BHK Apartment,1,Unfurnished,Bachelors,1000 sqft,"15,000"," Langar House South, Hyderabad Expressway "
407,4 BHK Builder Floor,1,Semi-Furnished,Bachelors,1650 sqft,"23,000", Toli Chowki 
408,3 BHK Apartment,1,Semi-Furnished,Family,1690 sqft,"37,000"," My Home Vihanga, Gachibowli, Outer Ring Road "
409,1 BHK Apartment,1,Unfurnished,Bachelors/Family,East Facing Property,"15,000"," Mythri Nagar, Hafeezpet, NH "
410,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1900 sqft,"26,000"," Hill County Township, Bachupally, Outer Ring Road "
411,3 BHK Apartment,1,Furnished,Bachelors,1648 sqft,"24,000"," TNR Sulakshna, LB Nagar, NH "
412,3 BHK Apartment,2,Semi-Furnished,Family,1570 sqft,"17,000"," Manasa Vensa Ashraya, Saroornagar, NH "
413,3 BHK Apartment,1,Semi-Furnished,Family,1490 sqft,"30,000"," Aditya Imperial Heights, Hafeezpet, NH "
414,4 BHK Apartment,3,Unfurnished,Family,2675 sqft,"50,000"," Ashoka Liviano, P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road "
415,3 BHK Service Apartment,3,Furnished,Bachelors/Family,1660 sqft,"26,000"," East Oak Luxury Apartments, Pocharam, NH "
416,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1490 sqft,"35,000"," Aditya Imperial Heights, Hafeezpet, NH "
417,2 BHK Apartment,1,Unfurnished,Bachelors/Family,650 sqft,"8,500"," LIG Apartments, Kukatpally, NH "
418,3 BHK Apartment,2,Furnished,Bachelors/Family,1550 sqft,"40,000", Narayanguda 
419,2 BHK Apartment,1,Furnished,Bachelors/Family,1200 sqft,"15,000"," Devi Bagh, Bahadurpura "
420,3 BHK Apartment,2,Semi-Furnished,Family,1410 sqft,"23,000"," Tellapur, Outer Ring Road "
421,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,"21,000"," Sriramnagar,Kothaguda "
422,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1530 sqft,"28,000"," Vazhraa Nirmaan Pushpak, Nizampet "
423,2 BHK Apartment,1 Covered,Bachelors/Family,2,1500 sqft,"25,000", P&T Colony 
424,3 BHK Apartment,1,Semi-Furnished,Family,1725 sqft,"30,000"," Honer Vivantis, Nalagandala "
425,3 BHK Apartment,2,Unfurnished,Bachelors/Family,read more,"15,000", Sri Mahalakshmi Residency
426,3 BHK Service Apartment,1,Furnished,Bachelors/Family,1800 sqft,"40,000", Attapur 
427,3 BHK Apartment,3,Semi-Furnished,Family,1520 sqft,"28,000", West Marredpally 
428,2 BHK Apartment,1,Furnished,Bachelors,1600 sqft,"11,500", Almasguda 
429,3 BHK Apartment,1,Semi-Furnished,Bachelors,1350 sqft,"15,000"," Sun City, Bandlaguda, Chevella Road "
430,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,2200 sqft,"50,000"," Whistling Woods, Kokapet, Outer Ring Road "
431,2 BHK Apartment,1,Furnished,Bachelors,1200 sqft,"25,000", Toli Chowki 
432,2 BHK Apartment,2,Furnished,Bachelors,1500 sqft,"30,500"," Khaja Guda, Outer Ring Road "
433,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1643 sqft,"25,000"," RV Kaustubha, Kompally "
434,3 BHK Apartment,2,Furnished,Bachelors/Family,1505 sqft,"40,000"," Aparna Serene Park, Kondapur "
435,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1050 sqft,"8,000"," Bachupally, Outer Ring Road "
436,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,read more,"40,000", Vajras Jasmine County
437,3 BHK Apartment,3,Semi-Furnished,Family,1600 sqft,"22,000"," Advocates Colony, Himayath Nagar "
438,2 BHK Apartment,2,Furnished,Bachelors/Family,1050 sqft,"28,000", Police Colony-Kondapur 
439,3 BHK Apartment,2,Semi-Furnished,Family,1920 sqft,"27,000"," Hyder Nagar, NH "
440,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1300 sqft,"15,000", Gajularamaram 
441,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1550 sqft,"16,000", MADEENAGUDA 
442,2 BHK Apartment,NaN,Bachelors/Family,2,1275 sqft,"20,000"," Madinaguda, Hafeezpet, NH "
443,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1200 sqft,"30,000"," P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road "
444,2 BHK Builder Floor,2,Furnished,Family,1200 sqft,"28,000"," Alkapur Township, Manikonda, Outer Ring Road "
445,3 BHK Apartment,2,Semi-Furnished,Bachelors,1525 sqft,"23,000"," SMR Sowmya, West Marredpally "
446,2 BHK Apartment,1,Furnished,Bachelors,1100 sqft,"26,000", Toli Chowki 
447,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1500 sqft,"15,000"," Bommarillu Homes, Madhura Nagar-Nizampet "
448,3 BHK Apartment,West,Semi-Furnished,Bachelors/Family,1800 sqft,"17,500"," Sapthagiri Enclave, Bachupally, Outer Ring Road "
449,3 BHK Apartment,2,Semi-Furnished,Family,1250 sqft,"24,000"," Malaysian Township, Kukatpally, NH "
450,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1314 sqft,"30,000"," Narsingi, Outer Ring Road "
451,4 BHK Apartment,2,Semi-Furnished,Bachelors,1850 sqft,"38,000", Begumpet 
452,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1314 sqft,"30,000"," My Home Avatar, Narsingi, Outer Ring Road "
453,3 BHK Apartment,2,Unfurnished,Family,1475 sqft,"15,000", Sivaji Nagar-Chandanagar 
454,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1090 sqft,"30,000"," Lakdikapul, NH "
455,2 BHK Apartment,2,Unfurnished,Bachelors/Family,150 sqft,"9,000"," Uppal, NH "
456,3 BHK Apartment,East,Semi-Furnished,Bachelors,1400 sqft,"25,000"," Dundoo Classic Tower, Boiguda "
457,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1365 sqft,"15,000"," Jai Jawahar Nagar, Secunderabad "
458,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,970 sqft,"12,000", Ashgoli 
459,2 BHK Apartment,1,Unfurnished,Bachelors,1150 sqft,"12,000", Adibatla 
460,Studio Apartment,East,Furnished,Family,read more,"25,000", Kondapur
461,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,"18,000", Toli Chowki 
462,2 BHK Apartment,1,Furnished,Bachelors/Family,900 sqft,"16,000"," Hafeezpet, NH "
463,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1550 sqft,"19,500"," Mayflower Heights, Mallapur "
464,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1100 sqft,"9,500"," Bandlaguda, Nagole, Srisailam Highway "
465,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1000 sqft,"14,000"," Gangaram, Chandanagar, NH "
466,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1870 sqft,"42,000"," Vajras Jasmine County, Gachibowli, Outer Ring Road "
467,3 BHK Apartment,3,Semi-Furnished,Bachelors,2535 sqft,"30,000"," Patels Bright View, Yapral "
468,3 BHK Apartment,North,Unfurnished,Bachelors,1500 sqft,"27,000"," Secunderabad, Rashtrapati ROAd "
469,3 BHK Apartment,3,Semi-Furnished,Bachelors,1654 sqft,"16,000"," VSR Celestial Towers, Gajularamaram "
470,3 BHK Apartment,5,Semi-Furnished,Family,2300 sqft,"28,000"," SMR Vinay Harmony County, Appa junction "
471,3 BHK Builder Floor,2,Furnished,Bachelors,"40,000 sqft","25,000"," Chitrapuri Colony, Manikonda, Outer Ring Road "
472,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,2630 sqft,"45,000"," Hallmark KSN Residency, Kondapur "
473,3 BHK Apartment,2,Furnished,Bachelors/Family,1800 sqft,"45,000"," Vittal Rao Nagar, Hitech City "
474,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1275 sqft,"20,000"," NCL Sindhu, Satyam Enclave, Komapally, NH "
475,2 BHK Apartment,2,Unfurnished,Bachelors,1100 sqft,"11,000"," Manovikas Nagar, Secunderabad, NH "
476,3 BHK Apartment,West,Semi-Furnished,Bachelors/Family,1834 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road "
477,3 BHK Apartment,2,Semi-Furnished,Bachelors,1533 sqft,"28,000"," Ramanthapur, NH "
478,3 BHK Apartment,2,Semi-Furnished,Bachelors,1250 sqft,"18,000"," Pragathi Nagar, Kukatpally "
479,4 BHK Apartment,1,Unfurnished,Bachelors/Family,1500 sqft,"9,000"," Bandlaguda, Nagole, Srisailam Highway "
480,2 BHK Apartment,North - East,Unfurnished,Bachelors,900 sqft,"8,000", Patelguda 
481,2 BHK Apartment,West,Semi-Furnished,Bachelors/Family,950 sqft,"11,000", Suchitra Road 
482,3 BHK Apartment,3,Furnished,Bachelors/Family,1555 sqft,"32,000"," Hafeezpet, NH "
483,3 BHK Builder Floor,2,Furnished,Bachelors,1600 sqft,"26,000"," Green Field Colony, Secunderabad "
